count	verbatim_kingdom	verbatim_phylum	verbatim_class	verbatim_order	verbatim_family	verbatim_genus	verbatim_species	verbatim_infra	verbatim_rank	verbatim_verbatimRank	verbatim_scientificName	verbatim_generic	verbatim_author	current_kingdom	current_phylum	current_class	current_order	current_family	current_genus	current_subGenus	current_species	current_scientificName	current_acceptedScientificName	current_kingdomKey	current_phylumKey	current_classKey	current_orderKey	current_familyKey	current_genusKey	current_subGenusKey	current_speciesKey	current_taxonKey	current_acceptedTaxonKey	proposed_kingdom	proposed_phylum	proposed_class	proposed_order	proposed_family	proposed_genus	proposed_subGenus	proposed_species	proposed_scientificName	proposed_acceptedScientificName	proposed_kingdomKey	proposed_phylumKey	proposed_classKey	proposed_orderKey	proposed_familyKey	proposed_genusKey	proposed_subGenusKey	proposed_speciesKey	proposed_taxonKey	proposed_acceptedTaxonKey
9538	Plantae	null	null	null	null	null	null	null	Species	null	Lathyrus pratensis	null	L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	null	Lathyrus pratensis	Lathyrus pratensis L.	Lathyrus pratensis L.	6	7707728	220	1370	5386	2962244	null	5356701	5356701	5356701	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Lathyrus	null	Lathyrus pratensis	Lathyrus pratensis L.	Lathyrus pratensis L.	6	7707728	220	1370	5386	10473556	null	5356701	5356701	5356701
219328	Animalia	null	Aves	null	null	null	null	null	null	null	Accipiter nisus	null	null	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	null	Accipiter nisus	Accipiter nisus Linnaeus, 1758	Accipiter nisus Linnaeus, 1758	1	44	212	7191147	2877	9405810	null	2480637	2480637	2480637	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	null	Accipiter nisus	Accipiter nisus (Linnaeus, 1758)	Accipiter nisus (Linnaeus, 1758)	1	44	212	7191147	2877	9405810	null	2480637	2480637	2480637
43159	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	null	null	unranked	null	Taraxacum officinale agg.	null	null	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	null	Taraxacum officinale	Taraxacum officinale F.H.Wigg.	Taraxacum officinale F.H.Wigg.	6	7707728	220	414	3065	8322495	null	5394163	5394163	5394163	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	null	Taraxacum officinale	Taraxacum officinale F.H.Wigg.	Taraxacum officinale F.H.Wigg.	6	7707728	220	414	3065	7787708	null	5394163	5394163	5394163
1497	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	carinatum	null	null	null	null	null	null	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	null	Achurum carinatum	Achurum carinatum (Walker & F., 1870)	Achurum carinatum (Walker & F., 1870)	1	54	216	1458	9394	1703663	null	1703669	1703669	1703669	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Achurum	null	Achurum carinatum	Achurum carinatum (F.Walker, 1870)	Achurum carinatum (F.Walker, 1870)	1	54	216	1458	9394	1703663	null	1703669	1703669	1703669
3027	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	macroura	null	species	null	Zenaida macroura	null	null	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	null	Zenaida macroura	Zenaida macroura Linnaeus, 1758	Zenaida macroura Linnaeus, 1758	1	44	212	1446	5233	2495346	null	9576216	9576216	9576216	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	null	Zenaida macroura	Zenaida macroura (Linnaeus, 1758)	Zenaida macroura (Linnaeus, 1758)	1	44	212	1446	5233	2495346	null	2495347	2495347	2495347
2235	Animalia	Chordata	Aves	Passeriformes	Sturnidae	Mimus	null	null	null	null	Mimus polyglottos	null	null	Animalia	Chordata	Aves	Passeriformes	Mimidae	Mimus	null	Mimus polyglottos	Mimus polyglottos (Linnaeus, 1758)	Mimus polyglottos (Linnaeus, 1758)	1	44	212	729	9321	9498764	null	5231677	5231677	5231677	Animalia	Chordata	Aves	Passeriformes	Mimidae	Mimus	null	Mimus polyglottos	Mimus polyglottos (Linnaeus, 1758)	Mimus polyglottos (Linnaeus, 1758)	1	44	212	729	9321	2494919	null	5231677	5231677	5231677
1769	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Xanthium	null	null	species	null	Xanthium strumarium	null	null	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Xanthium	null	Xanthium strumarium	Xanthium strumarium Lour.	Xanthium strumarium Lour.	6	7707728	220	414	3065	3089139	null	9052721	9052721	9052721	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Xanthium	null	Xanthium strumarium	Xanthium strumarium L.	Xanthium strumarium L.	6	7707728	220	414	3065	3089139	null	3089154	3089154	3089154
3310	null	null	null	null	null	null	null	null	null	null	Elymus repens (L.) Gould	null	null	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elymus	null	Elymus repens	Elymus repens (L.) Gould	Elymus repens (L.) Gould	6	7707728	196	1369	3073	5290243	null	5290299	5290299	5290299	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Elymus	null	Elymus repens	Elymus repens (L.) Gould	Elymus repens (L.) Gould	6	7707728	196	1369	3073	10628802	null	5290299	5290299	5290299
1063	null	null	null	null	null	null	null	null	null	null	Trieres mobiliensis (J.W.Bailey) Ashworth & Theriot, 2013	null	null	Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Odontella	null	Odontella mobilensis	Trieres mobiliensis (J.W.Bailey) M.P.Ashworth & E.C.Ther.	Odontella mobilensis (J.W.Bailey) Grunow	4	98	7947184	1151	3306	3191919	null	5710024	7644219	5710024	Chromista	Ochrophyta	Bacillariophyceae	Triceratiales	Triceratiaceae	Trieres	null	Trieres mobiliensis	Trieres mobiliensis (J.W.Bailey) Ashworth & E.C.Theriot, 2013	Trieres mobiliensis (J.W.Bailey) Ashworth & E.C.Theriot, 2013	4	98	7947184	1151	3306	7770035	null	7644219	7644219	7644219
1525	Animalia	null	null	null	null	null	null	null	species	null	Melanitta fusca	null	null	Animalia	Chordata	Aves	Anseriformes	Anatidae	Melanitta	null	Melanitta fusca	Melanitta fusca Linnaeus, 1758	Melanitta fusca Linnaeus, 1758	1	44	212	1108	2986	2498237	null	2498238	2498238	2498238	Animalia	Chordata	Aves	Anseriformes	Anatidae	Melanitta	null	Melanitta fusca	Melanitta fusca (Linnaeus, 1758)	Melanitta fusca (Linnaeus, 1758)	1	44	212	1108	2986	2498237	null	2498238	2498238	2498238
1518	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus	null	null	Species	null	Hippocampus reidi	null	Ginsburg, 1933	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus	null	Hippocampus reidi	Hippocampus reidi Ginsburg, 1933	Hippocampus reidi Ginsburg, 1933	1	44	204	773	5901	8156547	null	5201123	5201123	5201123	Animalia	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus	null	Hippocampus reidi	Hippocampus reidi Ginsburg, 1933	Hippocampus reidi Ginsburg, 1933	1	44	204	773	5901	7595270	null	5201123	5201123	5201123
